,doc,id,original_text,reference_summary,title
tosdr076,Privacy Policy,,we do not use cookies for tracking purposes.,this service only uses temporary session cookies.,
tosdr078,Terms of Use,,you also agree to register one account only for your use of the site. the site administrators reserve the right to ban users because of accessing the site with more than one account. the information we obtain through your use of this site including your registration data is subject to our privacy policy which is specifically incorporated by reference into these terms of use.,service does not allow alternative accounts.,
tosdr080,Privacy Policy,,offer you targeted advertising in order to personalize your experience by showing you advertisements that are more relevant to you.,the service uses your personal data for advertising.,
tosdr081,Terms of Service,,researchgate strives to connect the world of science. it is essential for the credibility of the world of science and for the reputation of researchers that researchers identify themselves using their real names and their affiliation. you must therefore provide only true and non misleading statements and your real name. you may not use pseudonyms or pen names. you may not accept adopt or post content that falsely or misleadingly implies an incorrect identity inaccurate biographical facts or misleading information about your qualifications work experience or achievements. you warrant and represent that all personal information you provide is accurate and complete. you are obliged to update such data when it changes. if you choose to use a profile photo you must use a photo where you can be clearly identified. images of other people animals text and logos are not permitted. this again is essential for the credibility of the researchers using the service and is in the best interest of the world of science.,pseudonym not allowed user to user trust is relevant for service.,
tosdr082,Privacy Policy,,we collect content of your files and communications when necessary to provide you with the services you use.,the service can read your private messages.,
tosdr083,Privacy Policy,,our use of web beacons and analytics services microsoft web pages may contain electronic images known as web beacons also called single pixel gifs that we use to help deliver cookies on our sites count users who have visited those sites and deliver co branded services. we also include web beacons in our promotional email messages or newsletters to determine whether you open and act on them.,tracking pixels used in service to user communication.,
tosdr085,Legal information,,we do not use cookies or any other tracking technology.,this service does not track you.,
tosdr088,About our edit tool,,when cancelling your account we scramble your data in our database so you cannot recover your account and we don t loose your contributions.,this service will continue using anonymized user generated content even after erasure of personal information.,
tosdr089,About our edit tool,,phoenix is hosted on heroku for development purposes. please refer to their tos for any more details.,tos dr refers users to heroku s terms of service for more information.,
tosdr090,Privacy Policy,,we may update this privacy policy from time to time at our sole discretion.,terms may be changed any time at their discretion without notice to the user.,
tosdr091,About our edit tool,,nothing here should be considered legal advice. we express our opinion with no guarantee and we do not endorse any service in any way. please refer to a qualified attorney for legal advice. reading tos dr is in no way a replacement for reading the full terms to which you are bound.,tos dr gives no guarantee regarding quality.,
tosdr092,CoReadingWebPrivacyPolicy,,information collected if you visit a web site maintained by the city of reading to read or download information we collect the following information the name of domain. for example xcompany com if you use a private internet access account or yourschool edu if you are connecting from a university domain an ip address. a number automatically assigned to your computer when you are using the internet the type of browser and operating system used to access our site the internet address of the website from which you linked directly to our site the pages you visit within the city s site. and the links made to other web sites through this site. this information is collected for statistical analysis using standard third party software programs to create summary statistics. the statistics are used for the purpose of determining what information is of most and least interest to all visitors and identifying system performance or problem areas. this information is not collected for commercial marketing purposes and the city does not sell information collected online for commercial marketing purposes. if during your visit to the city s web site you voluntarily provide personally identifiable information we will collect such information. examples of personally identifiable information may include an email address if you are communicating to us through email information you voluntarily submit to the city for the purposes of completing or submitting an application or form online. and other information volunteered such as survey information or content of email. in general please note the information collected whether or not personally identifiable is not limited to text characters and may include audio video and other graphic formats you send us. information is retained in accordance with existing laws and other city policies.,the service provides details about what kinds of personal information they collect.,
tosdr093,CoReadingWebPrivacyPolicy,,public disclosure as a general rule the city does not disclose any personally identifiable information collected online except where you have given us permission or where the information is public information under the pennsylvania right to know act 65 p s. 66 1 et seq or other applicable laws. visitors should be aware that information collected by the city on its website may be subject to examination and inspection if such information is a public record and not otherwise protected from disclosure.,the service will not allow third parties to access your personal information without a legal basis.,
tosdr094,CoReadingWebPrivacyPolicy,,choice you may decline participation in any activity that asks for information i e surveys or emails. your choice to not participate will have no effect on your ability to access information on the city s web sites.,you can choose with whom you share content.,
tosdr095,CoReadingWebPrivacyPolicy,,cookies to better serve you we occasionally use cookies to customize your browsing experience. cookies are simple text files stored by your web browser and they provide a method of distinguishing among visitors to the web sites. cookies created on your computer by using our web sites do not contain personally identifiable information and do not compromise your privacy or security. we use the cookie feature to store a randomly generated identifying tag on your computer. you can refuse the cookie or delete the cookie file from your computer at any time by using any one of a number of widely available methods.,the cookies used by this service do not contain information that would personally identify you.,
tosdr096,CoReadingWebPrivacyPolicy,,security the city has taken steps to safeguard the submission of information by implementing detailed technology and security policies. security measures have been integrated into the design implementation and day to day operations of the entire operating environment as part of our continuing commitment to the security of electronic content as well as the electronic transmission of information.,this service prohibits users from attempting to gain unauthorized access to other computer systems.,
tosdr097,CoReadingWebPrivacyPolicy,,information disclaimer information provided on the city s web sites is intended to allow the public immediate access to public information. while all attempts are made to provide accurate current and reliable information we recognize the possibility of human and or mechanical error. therefore the city of reading pa its employees officers and agencies expressly deny any warranty of the accuracy reliability or timeliness of any information published by this system and shall not be held liable for any losses caused by reliance upon the accuracy reliability or timeliness of such information. any person who relies upon such information obtained from this system does so at his or her own risk.,this services gives no guarantee regarding quality.,
tosdr098,Linking Policy,,readingpa gov will not approve a link to any web site that exhibits hate bias or discrimination.,users agree not to submit libelous harassing or threatening content.,
tosdr099,Linking Policy,,furthermore the city of reading pa reserves the right to deny or remove any link that contains misleading information or unsubstantiated claims or is determined to be in conflict with the city of reading pa mission or policies.,prohibits the posting of content which promotes or glorifies violence or politically or religiously extremist values.,
tosdr101,Privacy Policy,,when we post changes to this privacy policy we will revise the last updated date at the top of this privacy policy.,there is a date of the last update of the terms.,
tosdr106,Privacy Policy,,this site doesn t track you in any way shape or form. period.,this service does not track you.,
tosdr107,Privacy Policy,,we may also automatically collect device specific information when you install access or use our services. this information may include information such as the hardware model operating system information app version app usage and debugging information browser information ip address and device identifiers.,the service may use tracking pixels web beacons browser fingerprinting and or device fingerprinting on users.,
tosdr108,Terms of Service,,you and 500px agree that any proceedings to resolve or litigate any dispute arising hereunder will be conducted solely on an individual basis and that you will not seek to have any dispute heard as a class action a representative action a collective action a private attorney general action or in any proceeding in which you act or propose to act in a representative capacity. you further agree that no proceeding will be joined consolidated or combined with another proceeding without the prior written consent of 500px and all parties to any such proceeding.,you waive your right to a class action.,
tosdr109,Terms of Service,,as a condition to using services you are required to open an account with 500px and select a password and username and to provide registration information. the registration information you provide must be accurate complete and current at all times.,you do not have to provide your legal name except for paid accounts for billing purposes and you can use the service with a pseudonym.,
tosdr110,Terms of Service,,500px reserves the right at its sole discretion to modify or replace the terms at any time. if the alterations constitute a material change to the terms 500px will notify you by posting an announcement on the site. what constitutes a material change will be determined at 500px s sole discretion. you are responsible for reviewing and becoming familiar with any such modifications. using any service or viewing any visual content constitutes your acceptance of the terms as modified.,terms may be changed any time at their discretion without notice to the user.,
tosdr111,Terms of Service,,by posting visual content to the site you grant to 500px a non exclusive or exclusive transferable fully paid worldwide license to use sublicense distribute reproduce modify adapt publicly perform and publicly display such visual content in connection with the services. this license will exist for the period during which the visual content is posted on the site and will automatically terminate upon the removal of the visual content from the site subject to the terms of any license granted by an authorized 500px distributor the license granted to 500px includes the right to use visual content fully or partially for promotional reasons and to distribute and redistribute visual content to other parties websites authorized agents applications and other entities provided such visual content is attributed in accordance with the required credits i e. username or collection name profile picture photo title descriptions tags and other accompanying information if any and as appropriate as submitted to 500px subject to any credit requirements governing the licensing of visual content pursuant to the contributor agreement notwithstanding the foregoing no inadvertent failure to provide appropriate attribution shall be considered a breach of these terms 500px and its distributors have the right to modify alter and amend photo titles descriptions tags metadata and other accompanying information for any visual content and the right to submit visual content to other parties and authorized agents for the purpose of creating tags for visual content.,the copyright license you grant to 500px is transferable and sublicensable. the copyright license is limited for use in connection with the services which includes promotional uses and redistribution to other parties web sites applications and other entities if you are credited properly. the license on your content terminates when you remove such content.,
tosdr112,Privacy Policy,,search encrypt uses cookies to determine the effectiveness of our own marketing campaigns. because we don t track any personally identifiable information we can t do more than determine that a specific user searched for whatever search terms they searched for. we know nothing about that particular user and we don t know anything identifiable about the user. using cookies also allows us to encrypt your search queries on the browser to help hide the history of what you searched for on the machine.,this service requires first party cookies which are cookies that only belong to the domain of the service and not a third party.,
tosdr116,Privacy Policy,,ithaka may also transfer personally identifiable information to third parties including third parties located internationally such as applicable publishers other content providers and libraries who can better assist with your inquiries to facilitate order fulfillment for the journals hosting program and to enable them to inform users of services provided by ithaka and or the third parties products and services that may be of interest.,many third parties are involved in operating the service.,
tosdr117,Privacy Policy,,we may update this privacy policy to reflect changes to our information practices. if we make any change in how we use your personal information we will notify you by email sent to the e mail address specified in your account. we encourage you to periodically review this page for the latest information on our privacy practices.,users should revisit the terms periodically although in case of material changes the service will notify.,
tosdr119,Terms of Use,,we may in our sole discretion a suspend or terminate your account and or your access to the service.,the service can delete your account without prior notice and without a reason.,
tosdr120,Terms of Use,,we reserve the right to modify or discontinue the service at any time including by limiting or discontinuing certain features of the service without notice to you. we will have no liability whatsoever on account of any change to the service.,they may stop providing the service at any time.,
tosdr121,Terms of Service,,tinder does not represent or warrant that a the service will be uninterrupted secure or error free b any defects or errors in the service will be corrected or c that any content or information you obtain on or through the service will be accurate.,this services gives no guarantee regarding quality.,
tosdr122,Privacy Policy,,company aggregates non personal data which cannot identify a user. such data includes the apps installs the frequency of the launches and the use of different screens in the application. we also collect non personalized data about the devices models software versions the countries where the application is used and the language. also the users may be asked to leave an email to get access to certain additional features.,the service provides details about what kinds of personal information they collect.,
tosdr124,Terms of Service,,only one account per user is allowed. users caught with more than one account may be permanently banned and have all their accounts disabled.,service does not allow alternative accounts.,
tosdr125,Privacy Policy,,certain parts of non personalized data can be shared with the partners of the company in the amounts necessary to ensure cooperation between the company and its partners or service providers.,third parties may be involved in operating the service.,
tosdr126,Terms & Rules,,you are granting us with a non exclusive permanent irrevocable unlimited license to use publish or re publish your content in connection with the service.,the copyright license that users grant to the service is limited for the purposes of that same service and not third parties.,
tosdr127,Terms & Rules,,you agree to not use the service to submit or link to any content which is defamatory abusive hateful threatening spam or spam like likely to offend contains adult or objectionable content contains personal information of others risks copyright infringement encourages unlawful activity or otherwise violates any laws.,users agree not to submit illegal content.,
tosdr129,Terms & Rules,,we reserve the rights to remove or modify any content submitted for any reason without explanation. requests for content to be removed or modified will be undertaken only at our discretion.,the service can delete specific content without prior notice and without a reason.,
tosdr130,Terms & Rules,,creation of multiple accounts is not permitted.,service does not allow alternative accounts.,
tosdr131,Terms & Rules,,content of an adult or sexual nature is strictly prohibited. the general guideline for this is that content must be pg 13 or below.,prohibits the posting of pornographic content.,
tosdr132,Privacy Policy,,we currently do not offer website functionality for you to opt out of any do not track signals or listings.,this service ignores the do not track dnt header and tracks users anyway even if they set this header.,
tosdr133,Privacy Policy,,disqus may in its sole discretion modify or update this privacy policy from time to time and so you should review this page periodically. when we change the policy we will update the last modified date at the bottom of this page. your continued use of the site following the posting of any changes to this policy means you accept such changes.,they can change the terms of service any time they see fit even without notification to the user. your use of the service supposedly constitutes acceptance of the changes in the terms.,
tosdr134,Steam Subscriber Agreement,,valve may amend this agreement including any subscription terms or rules of use unilaterally at any time in its sole discretion. in this case you will be notified by e mail of any amendment to this agreement made by valve within 60 sixty days before the entry into force of the said amendment. you can view the agreement at any time at http www steampowered com. your failure to cancel your account within thirty 30 days after the entry into force of the amendments will constitute your acceptance of the amended terms.,when the service wants to change its terms users are notified a month or more in advance.,
tosdr135,Terms of Service,,the courts sitting in seattle washington will have exclusive jurisdiction over any claim arising from or related to these terms and conditions.,the court of law governing the terms is in seattle washington.,
tosdr136,Steam Subscriber Agreement,,if you live in the european union this section 11 does not apply to you. most user concerns can be resolved by use of our steam support site at https support steampowered com. if valve is unable to resolve your concerns and a dispute remains between you and valve this section explains how the parties have agreed to resolve it. you and valve agree to resolve all disputes and claims between us in individual binding arbitration. that includes but is not limited to any claims arising out of or relating to i any aspect of the relationship between us. ii this agreement. or iii your use of steam your account or the content and services. it applies regardless of whether such claims are based in contract tort statute fraud unfair competition misrepresentation or any other legal theory. however this section does not apply to the following types of claims or disputes which you or valve may bring in any court with jurisdiction i claims of infringement or other misuse of intellectual property rights including such claims seeking injunctive relief. and ii claims related to or arising from any alleged unauthorized use piracy or theft. this section does not prevent you from bringing your dispute to the attention of any federal state or local government agencies that can if the law allows seek relief from us for you. an arbitration is a proceeding before a neutral arbitrator instead of before a judge or jury. arbitration is less formal than a lawsuit in court and provides more limited discovery. it follows different rules than court proceedings and is subject to very limited review by courts. the arbitrator will issue a written decision and provide a statement of reasons if requested by either party. you understand that you and valve are giving up the right to sue in court and to have a trial before a judge or jury. you and valve agree to make reasonable good faith efforts to informally resolve any dispute before initiating arbitration. a party who intends to seek arbitration must first send the other a written notice that describes the nature and basis of the claim or dispute and sets forth the relief sought. if you and valve do not reach an agreement to resolve that claim or dispute within 30 days after the notice is received you or valve may commence an arbitration.,you waive your right to a class action.,
tosdr137,Steam Refunds,,you can request a refund for nearly any purchase on steam for any reason. maybe your pc doesn t meet the hardware requirements. maybe you bought a game by mistake. maybe you played the title for an hour and just didn t like it. it doesn t matter. valve will upon request via help steampowered com issue a refund for any reason if the request is made within fourteen days of purchase and the title has been played for less than two hours. there are more details below but even if you fall outside of the refund rules we ve described you can ask for a refund anyway and we ll take a look.,users are entitled to a refund if certain thresholds or standards are not met by the service.,
tosdr138,Privacy Policy Agreement,,we use cookies which are text files placed on your computer to help us analyze how users use our services and similar technologies e g. web beacons pixels ad tags and device identifiers to recognize you and or your device s on off and across different devices and our services as well as to improve the services we are offering to improve marketing analytics or website functionality. the use of cookies is standard on the internet. although most web browsers automatically accept cookies the decision of whether to accept or not is yours. you may adjust your browser settings to prevent the reception of cookies or to provide notification whenever a cookie is sent to you. you may refuse the use of cookies by selecting the appropriate settings on your browser. the management of the use of cookies for each browser is further detailed on the following help page https support steampowered com kb_article php ref 9076 qyoj 0930. however please note that if you do this you may not be able to access the full functionality of our websites. when you visit any of our services our servers log your global ip address which is a number that is automatically assigned to the network your computer is part of.,the service may use tracking pixels web beacons browser fingerprinting and or device fingerprinting on users.,
tosdr139,"Privacy & Cookie Policy, Terms of Service",,cookies web beacons pixel tags clear gifs and other similar files or technologies may be used to collect and store the information automatically collected about your computer device and service usage.,the service may use tracking pixels web beacons browser fingerprinting and or device fingerprinting on users.,
tosdr141,Terms of Use,,by registering for an account you further agree to a provide accurate truthful current and complete information.,you have to provide accurate truthful current and complete information when creating an account on couchsurfing.,
tosdr142,Terms of Use,,if you post member content to our services you hereby grant us a perpetual i e. lasting forever worldwide irrevocable non exclusive royalty free and fully sublicensable i e. we can grant this right to others license to use reproduce display perform adapt modify create derivative works from distribute have distributed and promote such member content in any form in all media now known or hereinafter created including in emails or other communications to our members to administer operate develop and otherwise provide the couchsurfing services.,may retain certain information as required by law for legitimate business purposes and to protect member safety. they say they will hold data from already closed accounts in order to help them combat fraud on the platform.,
tosdr143,Terms of Use,,by accessing or using our services you agree to adhere to the community guidelines.,you should follow the community guidelines.,
tosdr144,Terms of Use,,if you provide a submission whether by email or otherwise you agree that it is non confidential unless couchsurfing states otherwise in writing and shall become the sole property of couchsurfing. couchsurfing shall own exclusive rights including all intellectual property rights and shall be entitled to the unrestricted use and dissemination of submissions for any purpose commercial or otherwise. you acknowledge that couchsurfing is not obligated to provide acknowledgment or compensation to you in exchange for submissions.,if you offer suggestions to the service they become the owner of the ideas that you give them.,
tosdr145,Cookies and Privacy Policy - About Privacy,,advertising cookies cookies are widely used in online advertising. neither us advertisers or our advertising partners can gain personally identifiable information from these cookies.,this service allows tracking via third party cookies for purposes including targeted advertising.,
tosdr146,Terms of Service,,we will not be liable for any loss or damage caused by a distributed denial of service attack viruses or other technologically harmful material that may infect your computer equipment computer programs data or other proprietary material due to your use of the site or any services or items obtained through the site or to your downloading of any material posted on it or on any site linked to it.,this service assumes no liability for any losses or damages resulting from any matter relating to the service.,
tosdr147,Privacy Policy,,apple and our partners and licensees may collect use and share precise location data including the real time geographic location of your apple computer or device. where available location based services may use gps bluetooth and your ip address along with crowd sourced wi fi hotspot and cell tower locations and other technologies to determine your devices approximate location. unless you provide consent this location data is collected anonymously in a form that does not personally identify you and is used by apple and our partners and licensees to provide and improve location based products and services. for example your device may share its geographic location with application providers when you opt in to their location services.,this service may collect use and share location data.,
tosdr148,Application-Based Services Terms of Use,,apple may change add or remove any part of these terms at any time. if it does so apple will post such changes on www apple com internetservices terms. if any future changes are unacceptable to you you should discontinue using the services. your continued use of the services now or following the posting of notice of any such changes will indicate your acceptance of these terms and of any such changes.,they can change the terms of service any time they see fit even without notification to the user. your use of the service supposedly constitutes acceptance of the changes in the terms.,
tosdr149,Website Terms of Service,,apple reserves the right at its sole discretion to change modify add or remove portions of these terms of use at any time. it is your responsibility to check these terms of use periodically for changes. your continued use of the site following the posting of changes will mean that you accept and agree to the changes.,apple may change their terms of use at any time and it is your responsibility to keep up to date on these changes. by using the site you accept these terms.,
tosdr150,Application-Based Services Terms of Use,,except as required by applicable non u s local or national law the laws of the state of california excluding its conflicts of law rules govern these terms and your use of the services.,the court of law governing the terms is in the state of california.,
tosdr151,Website Terms of Service,,you agree to the personal jurisdiction by and venue in the state and federal courts in santa clara county california and waive any objection to such jurisdiction or venue.,the court of law governing the terms is in santa clara county california.,
tosdr152,Privacy Policy,,if you do not wish to receive ads targeted to your interests from apple s advertising platform you can choose to enable limit ad tracking which will opt your apple id out of receiving such ads regardless of what device you are using. if you enable limit adtracking on your mobile device third party apps cannot use the advertising identifier a non personal device identifier to serve you targeted ads.,you can opt out of targeted advertising.,
tosdr153,Privacy Policy,,if we learn that we have collected the personal information of a child under 13 or equivalent minimum age depending on jurisdiction outside the above circumstances we will take steps to delete the information as soon as possible.,apple com has an age restriction of 13 years.,
tosdr154,Terms of Service,,you hereby agree to indemnify defend and hold harmless soundcloud its successors assigns affiliates agents directors officers employees and shareholders from and against any and all claims obligations damages losses expenses and costs including reasonable attorneys fees resulting from i any violation by you of these terms of use or our community guidelines ii any third party claim of infringement of copyright or other intellectual property rights or invasion of privacy arising from the hosting of your content on the platform and or your making available thereof to other users of the platform and or the actual use of your content by other users of the platform or linked services in accordance with these terms of use and the parameters set by you with respect to the distribution and sharing of your content iii any activity related to your account be it by you or by any other person accessing your account with or without your consent unless such activity was caused by the act or default of soundcloud.,you agree to indemnify soundcloud from all claims resulting from any third party for infringement of copyright or invastion of privacy related to your content or any activity related to your account.,
tosdr155,Terms of Service,,to the extent it is necessary in order for soundcloud to provide you with any of the aforementioned hosting services to undertake any of the tasks set forth in these terms of use including the distribution of advertising or other promotional material on our platform and or to enable your use of the platform you hereby grant such licenses to soundcloud on a limited worldwide non exclusive royalty free and fully paid basis. by uploading your content to the platform you also grant a limited worldwide non exclusive royalty free fully paid up license to other users of the platform and to operators and users of any other websites apps and or platforms to which your content has been shared or embedded using the services linked services to use copy listen to offline repost transmit or otherwise distribute publicly display publicly perform adapt prepare derivative works of compile make available and otherwise communicate to the public your content utilizing the features of the platform from time to time and within the parameters set by you using the services.,you only grant to soundcloud the rights necessary to operate the services. you grant to the public the rights to listen and to share your tracks within the parameters set by you for each track. you can also publish easily your tracks under a creative commons license of your choice.,
tosdr156,Terms of Service,,this agreement is subject to the laws of the federal republic of germany excluding the un convention on contracts for the international sale of goods cisg and excluding the principles of conflict of laws international private law.,the court of law governing the terms is in germany.,
tosdr157,Terms of Service,,if you are banned from patook for whatever reason you will make no attempt to ever register an account again without patook s written express permission. you agree to pay patook the sum of 1 000 if you create a new account after having been banned and an extra 1 000 for each subsequent account you create after being banned.,users can be fined 1000 if they re register an account after being banned however the service does not notify users if they re banned and provides no way to check.,
tosdr159,Terms of Service,,the rights you grant in this license are for the limited purpose of operating promoting and improving our services and to develop new ones.,the content you post on a particular google service can be used by google on other services you may not be aware of.,
tosdr160,Privacy Policy,,we do not share your personal information with companies organizations or individuals outside of google except in the following cases with your consentwe ll share personal information outside of google when we have your consent. for example if you use google home to request a ride from a ride sharing service we ll get your permission before sharing your address with that service. we ll ask for your explicit consent to share any sensitive personal information.,google can share your personal information with other parties. for sensitive information medical racial ethnic political religious or sexuality google requires opt in. google can also share or publish aggregated data that does not identify a person.,
tosdr161,Terms of Service,,this license continues even if you stop using our services for example for a business listing you have added to google maps. some services may offer you ways to access and remove content that has been provided to that service. also in some of our services there are terms or settings that narrow the scope of our use of the content submitted in those services.,the license that you grant to google on content you upload to their services will continue even if you stop using the services. while this makes sense for some services e g. google maps this applies by default to all google services. otherwise you need to check each service for ways to remove content and for specific clauses that restrict the license in time.,
tosdr162,Terms of Service,,the laws of california u s a excluding california s conflict of laws rules will apply to any disputes arising out of or relating to these terms or the services. the laws of california u s a excluding california s conflict of laws rules will apply to any disputes arising out of or relating to these terms or the services. all claims arising out of or relating to these terms or the services will be litigated exclusively in the federal or state courts of santa clara county california usa and you and google consent to personal jurisdiction in those courts.,the court of law governing the terms is in california.,
tosdr163,Terms of Service,,when you upload submit store send or receive content to or through our services you give google and those we work with a worldwide license to use host store reproduce modify create derivative works such as those resulting from translations adaptations or other changes we make so that your content works better with our services communicate publish publicly perform publicly display and distribute such content.,the copyright license you grant is for the limited purpose of operating promoting and improving existing and new google services. however please note that the license does not end if you stop using the google services.,
tosdr164,Privacy Policy,,when you re not signed in to a google account we store the information we collect with unique identifiers tied to the browser application or device you re using.,the service may use tracking pixels web beacons browser fingerprinting and or device fingerprinting on users.,
tosdr165,Privacy Policy,,the information we collect includes unique identifiers browser type and settings device type and settings operating system mobile network information including carrier name and phone number and application version number. we collect device specific information such as your hardware model operating system version unique device identifiers and mobile network information including phone number. google may associate your device identifiers or phone number with your google account.,google may collect your device fingerprint.,
tosdr166,Privacy Policy,,when we detect spam malware illegal content and other forms of abuse on our systems in violation of our policies we may disable your account or take other appropriate action. en quote do not use our services improperly. fr quote n utilisez pas nos services de façon impropre.,users agree not to use the service for illegal purposes.,
tosdr167,Privacy Policy,,the specified data and your entire user account can always be deleted in the customer area.,you can delete your content from this service.,
tosdr168,Terms of Service,,enforcement of these terms and conditions is solely in our discretion and failure to enforce the terms and conditions in some instances does not constitute a waiver of our right to enforce them in other instances.,failure to enforce any provision of the terms of service does not constitute a waiver of such provision.,
tosdr169,Terms of Service and License Agreement,,you are solely responsible for all activity in connection with access to the site and or services through your account or using your password and for the security of your computer systems and in no event shall grammarly be liable for any loss or damages relating to such activity.,you are responsible for maintaining the security of your account and for the activities on your account.,
tosdr170,Terms of Service and License Agreement,,if grammarly updates or revises this agreement grammarly will notify you either by email to your most recently provided email address by posting the updated or revised terms of service and end user license agreement on the site or by any other manner chosen by grammarly in its commercially reasonable discretion.,terms may be changed any time at their discretion without notice to the user.,
tosdr171,Terms of Service and License Agreement,,by uploading or entering any user content you give grammarly and those it works with a nonexclusive worldwide royalty free and fully paid transferable and sublicensable perpetual and irrevocable license to copy store and use your user content and if you are an authorized user your enterprise subscriber s user content in connection with the provision of the software and the services and to improve the algorithms underlying the software and the services.,this service can use your content for all their existing and future services.,
tosdr172,Privacy Policy,,this is the data we store for an account¹ account number expiry date.,the service does not log any user information.,
tosdr176,Terms of Service,,15 1 this agreement shall be effective for a 30 day term at the end of which it will automatically and continuously renew for subsequent 30 day terms until such time when you or airbnb terminate the agreement in accordance with this provision. 15 2 you may terminate this agreement at any time by sending us an email. if you cancel your airbnb account as a host any confirmed booking s will be automatically cancelled and your guests will receive a full refund. if you cancel your airbnb account as a guest any confirmed booking s will be automatically cancelled and any refund will depend upon the terms of the listing s cancellation policy.,users have the right to cancel their account at any time. however this cancellation is only effective after the 30 day term of the agreement is over.,
tosdr177,Terms of Service,,unless you provide specific consent airbnb does not claim any ownership rights in any member content and nothing in these terms will be deemed to restrict any rights that you may have to use or exploit your member content.,you maintain ownership of your data.,
tosdr178,Terms of Service,,5 5 by creating uploading posting sending receiving storing or otherwise making available any member content on or through the airbnb platform you grant to airbnb a non exclusive worldwide royalty free irrevocable perpetual or for the term of the protection sub licensable and transferable license to such member content to access use store copy modify prepare derivative works of distribute publish transmit stream broadcast and otherwise exploit in any manner such member content to provide and or promote the airbnb platform in any media or platform.,this service can use your content for all their existing and future services.,
tosdr179,Terms of Service,,should any part of these terms and conditions be rendered or declared invalid by an appropriate authority such invalidation of such part or portion of these terms and conditions should not invalidate the remaining portions thereof and they shall remain in full force and effect.,invalidity of any portion of the terms of service does not entail invalidity of its remainder.,
tosdr180,Terms of Service,,airbnb reserves the right to modify these terms at any time in accordance with this provision. if we make changes to these terms we will post the revised terms on the airbnb platform and update the last updated date at the top of these terms. we will also provide you with notice of the modifications by email at least thirty 30 days before the date they become effective. if you disagree with the revised terms you may terminate this agreement with immediate effect. we will inform you about your right to terminate the agreement in the notification email. if you do not terminate your agreement before the date the revised terms become effective your continued access to or use of the airbnb platform will constitute acceptance of the revised terms.,when the service wants to change its terms users are notified a month or more in advance.,
tosdr181,Terms of Service,,15 3 unless your country of residence is the united states without limiting our rights specified below airbnb may terminate this agreement for convenience at any time by giving you thirty 30 days notice via email to your registered email address.,the service gives 30 days of notice before closing your account.,
tosdr182,Terms of Service,,15 4 airbnb may immediately without notice terminate this agreement and or stop providing access to the airbnb platform if i you have materially breached your obligations under these terms the payments terms our policies or standards ii you have violated applicable laws regulations or third party rights or iii airbnb believes in good faith that such action is reasonably necessary to protect the personal safety or property of airbnb its members or third parties for example in the case of fraudulent behavior of a member.,airbnb can suspend your account for several reasons.,
tosdr183,Terms of Service,,15 7 when this agreement has been terminated you are not entitled to a restoration of your airbnb account or any of your member content. if your access to or use of the airbnb platform has been limited or your airbnb account has been suspended or this agreement has been terminated by us you may not register a new airbnb account or access and use the airbnb platform through an airbnb account of another member.,users who have been permanently banned from this service are not allowed to re register under a new account.,
